Dense Human Habitat,Human Agriculture,Forests,Grass and Shrublands,"Rocky, Barren, or Snowy",Wetlands,Water Bodies
54,2562,261,84,29,731,80
51,2594,282,68,24,699,77
48,2564,308,76,26,703,72
58,2594,246,101,23,710,71
53,2618,284,68,17,686,73
43,2619,280,95,21,668,75
64,2602,260,79,23,695,74
55,2587,307,78,14,673,88
64,2599,268,79,28,676,85
48,2578,296,85,19,714,61
41,2599,276,82,23,695,77
58,2599,294,74,26,680,68
59,2577,283,65,21,705,84
58,2574,295,107,28,663,71
53,2594,264,85,21,704,79
55,2592,261,86,25,691,89
55,2604,287,58,23,704,76
45,2624,274,80,27,662,87
67,2620,278,84,23,668,62
54,2570,275,81,27,711,74
44,2550,284,84,29,722,87
52,2607,290,85,28,660,74
56,2575,282,75,17,706,95
55,2588,280,77,23,716,69
59,2603,284,69,25,664,91
46,2604,294,79,19,669,91
52,2620,277,82,25,653,94
50,2562,266,79,32,735,74
67,2587,289,77,26,686,68
49,2581,295,87,26,678,82
67,2577,266,77,21,713,79
55,2594,305,80,29,673,66
52,2590,299,69,28,682,78
47,2595,301,78,28,685,76
46,2573,297,77,19,698,81
66,2569,300,71,30,680,76
62,2575,284,77,28,704,73
57,2554,315,87,24,694,74
54,2559,301,72,20,702,95
45,2602,263,74,24,708,81
47,2585,286,76,17,704,80
59,2557,291,85,22,693,90
75,2536,271,84,20,740,75
66,2561,283,76,26,705,84
63,2609,271,83,20,678,75
49,2611,280,83,23,690,78
58,2594,293,91,15,682,66
52,2580,269,82,28,708,83
49,2581,282,77,25,721,69
62,2574,307,82,16,680,74
44,2585,278,78,28,710,66
49,2586,296,75,30,698,63
56,2629,238,88,32,679,85
60,2598,292,85,29,642,87
62,2640,278,73,26,634,87
63,2599,256,84,26,683,87
59,2579,295,86,26,674,89
77,2541,266,78,33,744,58
52,2585,275,82,25,711,73
51,2635,281,78,20,649,83
52,2590,257,80,23,718,78
50,2602,270,87,18,707,75
58,2532,295,90,30,715,76
40,2570,302,72,28,697,88
45,2614,253,62,23,730,76
62,2576,295,79,21,695,70
48,2579,262,89,25,714,80
58,2640,306,82,26,622,67
55,2576,273,87,24,694,84
39,2579,279,77,27,727,69
49,2619,285,87,23,658,73
48,2520,286,116,18,729,76
56,2546,302,80,25,702,85
58,2601,274,96,29,660,78
37,2618,286,57,23,702,82
64,2609,276,90,20,657,78
55,2603,281,76,17,689,83
55,2618,268,87,15,681,71
40,2605,276,87,26,681,85
61,2589,280,75,30,670,80
43,2604,277,68,25,716,69
55,2592,295,85,17,670,81
64,2605,294,69,18,679,71
74,2574,268,86,21,695,70
57,2557,303,79,25,712,71
53,2584,308,77,25,662,83
52,2632,280,63,28,668,80
60,2588,265,96,21,674,88
56,2580,304,97,17,678,76
69,2595,272,94,21,676,72
55,2580,289,87,23,693,77
49,2617,276,78,27,664,83
63,2634,282,80,21,637,89
52,2638,279,71,18,670,73
50,2574,288,98,27,680,82
54,2614,290,68,24,655,89
46,2608,288,65,18,701,67
46,2589,279,87,29,685,81
58,2610,268,83,22,696,64
52,2646,288,80,21,630,82
52,2611,279,68,23,699,71
53,2597,274,86,19,693,79
54,2595,284,71,17,696,90
53,2566,281,88,17,701,86
59,2597,273,90,20,710,64
41,2629,243,87,24,706,73
52,2612,289,94,25,657,74
66,2565,299,90,25,682,72
47,2645,271,70,21,672,80
51,2599,292,92,35,659,77
47,2610,255,96,25,676,88
52,2560,287,78,32,697,82
56,2569,280,77,33,704,76
62,2606,261,79,34,695,71
49,2583,281,65,21,719,78
68,2594,290,75,22,685,66
46,2625,274,76,22,688,63
46,2593,288,81,26,701,62
57,2596,304,78,15,661,90
44,2628,258,74,24,700,72
49,2567,297,70,32,687,87
50,2576,295,83,25,700,72
64,2545,273,84,26,717,86
67,2607,277,78,22,683,69
69,2537,286,88,25,715,81
46,2611,274,86,29,675,67
56,2573,292,71,21,699,75
58,2556,272,92,30,693,94
54,2557,314,84,24,667,88
65,2576,264,82,19,695,88
47,2612,300,83,22,663,72
44,2611,267,55,31,714,82
48,2598,294,75,18,685,77
56,2582,276,68,21,704,88
44,2589,280,67,21,711,88
58,2589,272,74,28,692,91
58,2615,278,72,26,675,80
55,2602,285,78,21,682,71
63,2589,268,97,28,677,77
52,2588,285,87,26,688,72
63,2615,271,90,26,648,81
48,2604,289,85,20,673,68
56,2586,292,88,23,663,82
44,2596,290,75,11,730,60
53,2613,276,78,21,681,81
69,2566,267,93,26,687,82
71,2593,294,96,19,667,58
53,2613,276,87,31,681,61
63,2590,270,76,25,696,78
47,2604,281,90,35,664,79
60,2578,281,101,18,678,83
52,2591,275,80,20,706,90
56,2621,289,78,26,658,78
57,2617,281,80,24,673,61
50,2577,273,81,35,712,72
60,2555,288,81,20,704,88
54,2580,263,92,21,709,74
59,2615,264,86,27,673,83
64,2573,288,82,14,710,73
49,2559,335,80,21,684,72
43,2575,248,77,25,745,87
37,2577,323,73,21,678,91
41,2616,285,69,22,687,80
51,2614,292,77,30,665,75
58,2548,315,84,24,695,77
47,2588,274,86,24,700,84
50,2593,275,73,11,708,84
48,2562,268,79,23,731,90
54,2605,276,68,23,684,85
58,2558,282,84,28,702,79
54,2619,275,75,25,693,66
55,2620,245,86,25,691,82
55,2532,296,79,17,743,74
54,2591,290,71,23,703,69
58,2634,275,75,19,665,80
60,2591,257,79,30,696,83
47,2589,276,90,24,685,89
46,2610,286,78,28,667,81
51,2611,295,69,27,686,64
46,2571,284,87,21,719,67
37,2593,282,85,22,684,98
54,2605,292,91,14,679,75
64,2531,285,76,25,723,90
45,2620,262,77,23,692,89
60,2601,289,74,23,694,69
51,2630,291,74,25,630,99
49,2574,286,85,24,703,75
56,2571,286,97,23,685,73
43,2581,280,79,21,699,92
52,2614,249,84,22,699,83
46,2570,295,61,17,707,88
54,2637,267,68,24,688,74
50,2556,280,72,24,743,73
44,2584,312,77,27,688,83
67,2595,264,77,20,688,88
42,2594,308,97,20,664,76
58,2639,277,87,27,646,66
53,2559,284,93,20,698,88
43,2571,292,82,28,712,73
51,2615,298,83,18,655,83
48,2602,270,76,36,690,76
49,2624,270,82,22,668,77
54,2601,301,91,14,668,72
49,2573,274,79,28,717,84
33,2596,290,72,23,715,74
63,2562,277,81,25,705,87
58,2618,275,68,27,684,72
58,2618,283,95,21,644,86
57,2552,276,100,35,706,68
59,2569,299,79,20,703,73
47,2578,281,87,18,703,81
58,2586,269,79,32,683,90
53,2544,297,77,32,708,87
50,2626,274,73,24,672,82
51,2576,282,75,17,705,91
48,2587,305,76,28,682,72
58,2639,258,81,22,643,97
59,2615,274,87,23,681,70
56,2580,272,92,27,701,70
59,2604,272,75,18,692,85
60,2503,313,84,10,732,94
51,2633,300,67,17,664,69
59,2593,291,100,24,654,70
60,2559,299,71,21,698,92
57,2607,284,74,22,673,83
55,2579,266,85,30,702,81
62,2575,288,86,20,710,64
56,2556,286,82,24,717,85
51,2614,263,76,29,678,83
59,2635,290,72,16,647,76
48,2591,278,78,29,689,74
43,2663,263,68,28,653,83
50,2625,273,81,23,668,90
40,2598,290,86,23,683,71
45,2598,304,77,21,667,86
52,2581,269,98,24,719,63
59,2558,305,76,34,677,82
54,2572,294,81,31,690,75
60,2656,266,70,27,659,58
47,2627,279,72,21,676,71
47,2618,297,65,21,673,74
51,2583,268,78,29,716,77
56,2612,266,73,28,700,63
54,2596,283,81,26,694,64
69,2595,298,75,33,674,61
56,2586,268,76,19,709,87
57,2581,289,82,30,690,78
43,2603,275,79,21,684,88
55,2574,294,75,27,686,81
55,2618,266,79,21,681,78
62,2572,293,81,23,673,93
63,2614,274,73,17,696,62
50,2562,312,76,26,693,75
58,2566,292,82,20,711,78
48,2596,286,84,25,678,79
58,2569,277,99,23,707,62
53,2524,318,83,21,713,86
49,2570,276,87,20,716,79
47,2576,296,81,20,708,73
55,2641,285,83,27,632,77
54,2590,293,85,19,683,85
58,2605,251,79,15,697,85
49,2594,290,76,25,672,87
52,2615,273,72,22,685,81
56,2557,270,89,23,719,84
52,2604,281,80,28,667,78
58,2549,259,91,24,739,83
49,2591,283,89,28,682,81
54,2613,278,76,20,672,84
66,2559,272,82,31,708,75
52,2588,311,86,32,662,69
58,2517,296,95,27,715,92
61,2588,283,79,22,684,75
50,2608,291,92,19,667,60
57,2546,299,84,17,710,93
53,2619,261,79,28,682,80
53,2591,296,91,18,683,76
65,2539,286,80,26,730,71
54,2598,267,78,30,685,76
54,2571,264,89,23,730,60
46,2598,279,93,25,677,79
52,2589,270,80,22,723,66
49,2548,283,84,25,735,79
50,2571,311,76,26,666,88
62,2589,251,91,24,688,94
51,2569,289,85,35,687,87
54,2562,290,87,23,708,66
44,2572,296,81,19,710,70
54,2606,291,63,30,687,69
53,2562,324,91,27,659,81
56,2555,304,78,25,700,72
48,2597,292,67,24,678,90
47,2601,275,69,29,698,78
57,2580,278,73,20,704,80
52,2554,285,77,26,730,71
53,2559,295,86,28,676,94
68,2609,284,89,16,626,97
57,2635,253,74,17,683,77
43,2530,287,101,32,726,71
51,2630,271,82,29,660,79
62,2611,278,78,22,671,80
50,2609,298,67,25,681,64
49,2552,303,79,23,703,90
50,2592,281,95,26,667,87
46,2595,280,79,29,693,66
44,2661,265,72,25,660,73
52,2597,273,83,21,683,90
52,2601,299,80,27,649,84
47,2638,284,80,18,654,70
46,2567,277,75,21,720,78
70,2594,283,79,19,687,70
44,2572,295,85,25,701,80
51,2613,254,96,22,693,70
47,2557,316,75,17,714,72
54,2568,317,104,30,657,80
51,2586,302,82,14,696,70
52,2591,281,76,28,697,76
57,2615,276,88,19,680,74
56,2620,259,88,32,650,91
61,2585,286,88,15,704,64
47,2623,270,81,20,692,74
58,2607,296,72,25,664,70
45,2578,283,96,16,707,80
54,2569,287,58,23,716,79
38,2635,259,79,18,695,78
54,2604,286,90,22,658,72
60,2635,273,83,12,667,83
54,2584,274,70,25,717,74
50,2612,264,71,24,707,73
45,2623,289,66,25,671,77
58,2629,272,79,23,641,88
58,2556,291,99,19,701,83
59,2606,290,68,27,663,81
59,2604,293,82,25,659,80
54,2606,269,63,23,704,81
55,2570,294,69,26,718,66
55,2662,285,61,25,641,68
53,2621,249,78,13,714,73
56,2585,269,89,24,696,78
57,2581,298,84,17,692,65
44,2588,269,88,19,701,84
62,2577,261,92,23,712,72
54,2633,276,78,24,659,66
55,2562,281,84,24,697,99
53,2595,298,80,33,678,72
38,2548,296,96,32,709,70
61,2595,252,74,31,715,73
56,2604,282,73,23,691,69
49,2561,282,90,18,710,88
53,2612,283,72,17,687,72
58,2583,264,82,18,718,79
56,2578,289,67,30,695,78
39,2584,256,89,26,717,84
46,2616,254,68,26,699,87
36,2634,309,83,22,643,70
63,2570,287,80,28,685,88
56,2610,294,70,18,684,70
58,2601,291,68,23,671,87
57,2598,299,72,23,660,77
57,2625,269,83,23,669,76
50,2578,264,90,30,699,90
51,2542,305,78,29,714,77
59,2594,282,90,21,680,73
55,2569,262,66,26,748,73
54,2607,274,88,25,673,80
55,2617,284,72,23,657,86
56,2572,314,77,28,672,81
58,2587,270,76,25,695,86
48,2652,265,85,14,643,88
49,2602,263,77,25,709,69
44,2606,293,68,22,695,76
52,2573,263,92,17,713,84
46,2588,268,84,27,697,83
54,2580,286,74,27,701,73
50,2622,275,82,29,668,75
49,2590,300,80,23,676,79
56,2621,284,79,15,666,76
60,2598,274,86,30,667,78
41,2570,284,99,20,686,93
53,2713,281,73,22,606,50
56,2576,281,99,27,678,81
44,2544,280,81,22,753,76
55,2605,276,66,11,694,89
54,2591,291,87,29,680,71
52,2603,283,87,25,673,79
54,2631,271,79,24,671,74
68,2603,283,87,25,670,75
43,2588,269,93,31,676,84
60,2623,264,73,22,684,68
42,2596,284,90,16,691,81
49,2588,273,85,21,708,73
63,2583,300,82,30,672,59
59,2596,269,94,32,680,66
46,2609,277,79,20,679,80
45,2658,274,69,25,652,70
52,2609,271,76,25,682,85
50,2603,284,68,18,704,69
52,2611,275,78,20,681,84
46,2637,280,83,16,687,56
57,2655,288,76,18,621,89
58,2572,288,75,15,694,86
54,2591,279,75,21,705,80
57,2564,276,71,29,726,77
59,2585,273,70,30,708,88
71,2571,272,97,19,683,95
52,2621,280,84,18,676,70
52,2587,281,84,32,711,50
63,2601,274,86,24,680,74
58,2566,261,100,28,705,79
59,2633,263,87,16,647,86
45,2627,291,84,17,657,80
56,2586,271,80,21,716,72
61,2618,285,72,27,650,86
69,2628,277,70,23,652,77
48,2570,284,75,18,722,82
56,2597,286,74,23,700,68
74,2586,292,84,27,689,58
40,2644,302,72,25,634,82
56,2579,303,79,19,687,84
49,2652,282,83,22,626,77
54,2661,235,79,23,679,67
49,2603,317,78,26,649,79
71,2553,287,69,23,710,90
59,2530,294,71,21,733,85
44,2603,308,74,22,663,77
43,2582,307,93,21,680,83
54,2605,270,71,23,696,71
56,2543,301,83,29,712,71
54,2595,280,82,29,695,70
51,2586,317,78,23,671,74
60,2536,287,81,30,718,85
55,2550,284,98,26,696,83
57,2584,277,88,21,684,83
57,2586,319,74,31,663,60
45,2578,305,76,20,689,77
53,2663,285,76,27,623,73
59,2590,269,83,25,693,72
52,2614,300,84,16,674,59
63,2586,314,83,20,650,79
51,2626,276,82,22,669,76
65,2580,295,87,28,670,78
58,2616,252,78,17,715,71
69,2601,262,87,22,685,72
40,2605,285,83,16,689,80
56,2601,259,72,29,703,80
58,2577,282,73,25,702,78
68,2536,299,88,28,701,86
49,2548,305,83,29,698,79
71,2580,287,93,22,663,67
51,2587,298,87,24,651,97
59,2597,274,77,21,683,81
44,2613,289,79,28,673,78
48,2586,260,91,18,714,82
60,2563,283,87,20,686,84
48,2579,300,73,26,695,72
47,2675,277,74,16,636,77
47,2574,313,83,17,696,74
43,2613,258,88,20,687,89
49,2636,281,77,19,670,70
54,2629,254,79,11,703,69
63,2576,301,89,25,652,90
53,2651,263,76,22,646,83
67,2569,317,84,18,658,86
48,2615,276,77,28,674,86
46,2575,270,80,22,748,65
55,2550,285,85,23,730,73
50,2546,308,89,21,697,84
66,2551,323,89,23,665,85
46,2629,262,80,22,694,71
60,2594,267,76,22,702,73
59,2614,263,90,24,669,86
60,2595,262,65,14,724,81
48,2667,251,84,20,657,78
52,2550,285,87,14,722,86
42,2623,298,72,26,674,69
48,2598,280,59,19,709,76
60,2569,286,88,28,688,86
59,2579,287,89,23,694,71
59,2605,285,84,17,698,51
37,2585,301,82,34,680,90
47,2569,288,83,23,728,65
53,2552,292,80,21,715,76
52,2574,287,81,19,704,85
50,2583,276,88,21,689,79
56,2611,281,83,19,663,87
57,2605,247,73,25,701,86
49,2586,292,80,25,687,69
43,2618,284,74,27,673,81
56,2625,254,84,16,678,77
55,2550,306,81,24,707,82
61,2600,279,77,29,675,83
49,2603,275,73,26,704,69
42,2616,266,91,30,683,71
43,2611,291,87,20,690,66
56,2570,281,74,29,702,79
64,2557,312,77,19,706,60
42,2617,271,76,26,679,89
55,2607,282,76,30,674,73
55,2619,292,83,27,639,85
66,2594,258,78,26,685,91
55,2574,288,73,29,710,73
62,2596,275,96,23,685,60
45,2570,313,76,17,695,76
55,2580,300,79,17,686,78
54,2578,268,72,24,746,61
55,2570,284,94,20,698,81
48,2555,317,98,23,684,80
49,2619,255,79,28,699,79
56,2649,243,74,29,666,83
49,2545,302,93,25,703,85
48,2592,275,74,23,702,75
57,2642,283,78,25,647,69
55,2617,280,86,24,660,72
47,2616,272,91,26,666,88
52,2626,283,78,17,653,89
55,2574,293,83,20,694,68
59,2532,300,81,24,706,93
60,2526,315,88,23,701,81
58,2554,299,82,33,701,77
46,2568,296,93,25,702,72
72,2572,279,83,23,693,83
47,2601,269,68,24,727,71
57,2662,270,76,19,643,76
51,2584,300,82,28,675,84
56,2628,284,76,26,671,61
62,2619,258,79,21,685,68
72,2591,277,82,28,669,79
55,2554,297,94,17,707,83
65,2574,292,89,21,686,67
40,2559,282,74,20,749,78
53,2598,287,85,25,683,61
57,2578,285,77,25,698,82
42,2610,283,66,20,714,73
53,2575,295,82,24,678,84
48,2603,292,82,19,664,85
59,2596,278,84,29,671,78
53,2602,316,94,23,642,69
51,2617,272,73,26,691,74
43,2591,325,75,31,673,70
42,2588,297,77,32,699,67
57,2640,253,78,27,674,71
52,2520,295,86,23,732,85
61,2590,280,89,22,688,74
61,2577,278,82,22,707,71
56,2617,272,83,21,666,81
45,2615,257,82,24,703,73
51,2573,294,92,23,686,83
46,2594,266,95,18,685,94
47,2638,291,60,25,660,75
59,2581,275,92,26,693,76
53,2551,289,77,24,728,76
70,2624,287,75,23,653,77
59,2649,231,80,18,670,88
53,2574,313,69,31,679,83
50,2625,264,99,22,677,56
57,2632,282,71,31,660,71
51,2576,296,80,24,699,77
48,2599,290,87,24,682,71
47,2624,269,76,23,689,71
39,2606,284,73,17,681,91
45,2581,287,78,26,688,87
47,2596,272,66,36,694,71
65,2597,259,67,24,705,84
52,2546,290,92,28,726,57
48,2599,296,78,15,695,71
45,2600,291,74,20,699,72
57,2608,281,74,16,698,67
56,2560,286,86,25,701,72
50,2557,293,88,21,719,70
59,2636,266,83,22,662,77
59,2627,267,76,25,670,81
53,2610,293,75,22,664,74
51,2613,278,59,28,706,73
47,2599,272,83,26,682,92
55,2568,318,72,25,678,84
56,2567,279,78,27,712,73
55,2627,265,77,26,690,69
62,2574,266,81,17,725,75
51,2553,300,73,21,717,73
50,2587,275,94,29,695,78
59,2582,277,80,25,691,88
65,2615,264,78,26,682,73
52,2587,295,89,24,682,69
65,2570,290,67,13,714,82
61,2585,271,64,24,712,82
39,2594,283,77,15,721,73
47,2617,285,84,25,659,81
46,2576,291,84,18,708,70
47,2591,296,85,20,673,82
52,2529,305,84,27,695,101
62,2641,274,77,22,665,65
48,2536,259,88,19,755,92
63,2618,283,70,19,682,77
56,2560,283,89,20,728,67
55,2610,276,61,33,675,70
65,2577,259,83,22,714,79
56,2570,298,90,17,692,74
55,2593,287,75,19,683,82
56,2616,274,71,23,691,68
42,2590,259,80,15,722,80
49,2622,271,76,26,680,73
52,2548,295,79,27,736,73
52,2606,277,73,17,692,76
59,2575,294,72,20,694,67
52,2550,297,91,22,701,69
48,2576,264,97,29,703,83
57,2557,305,82,22,701,66
46,2593,312,74,30,659,75
48,2547,285,76,22,724,94
56,2596,286,63,24,685,85
40,2624,297,78,22,660,79
57,2502,292,82,25,763,83
57,2558,262,72,17,736,104
58,2632,265,80,28,660,76
68,2542,298,79,22,692,92
58,2586,286,69,25,685,86
54,2627,262,74,20,697,73
58,2592,287,76,25,680,86
49,2604,284,67,29,703,66
44,2593,282,82,25,697,82
53,2588,279,71,19,707,82
56,2560,316,73,27,688,80
58,2604,270,70,21,701,78
51,2557,317,80,22,701,75
45,2592,284,69,35,711,69
45,2622,252,88,20,701,69
51,2569,279,94,26,708,78
40,2580,287,80,24,711,73
59,2643,258,63,20,686,72
60,2610,267,68,23,685,79
73,2599,277,89,23,674,66
57,2602,305,69,20,670,75
55,2590,300,67,19,701,68
52,2620,316,76,19,642,72
65,2578,275,72,28,716,68
50,2624,284,75,26,691,55
50,2544,304,80,28,715,80
59,2566,298,79,21,696,80
54,2511,307,85,17,744,82
50,2572,285,84,25,700,77
43,2611,271,72,22,708,69
44,2635,260,80,19,688,71
52,2583,285,101,24,678,81
61,2579,297,82,32,688,73
46,2607,277,84,26,680,75
60,2599,257,75,16,692,81
69,2590,275,73,33,686,70
52,2608,259,88,19,710,62
55,2585,265,65,26,703,92
48,2626,282,71,15,681,69
65,2610,280,76,11,674,82
51,2601,296,67,23,678,75
61,2627,268,87,27,639,85
50,2598,290,94,22,664,76
45,2542,297,92,22,723,78
51,2560,300,90,19,712,76
60,2619,294,78,23,654,75
48,2600,297,75,24,683,74
46,2544,285,64,28,739,84
54,2602,269,62,22,699,91
49,2668,263,89,20,645,64
54,2618,262,76,24,699,74
42,2588,288,76,21,696,85
49,2590,291,70,23,700,82
42,2591,287,79,20,709,68
55,2556,294,77,21,715,88
65,2560,295,73,32,691,82
41,2606,301,72,25,675,73
67,2621,277,90,19,643,68
45,2632,285,77,21,661,80
50,2591,320,76,24,686,61
45,2610,258,70,23,711,75
52,2601,258,76,25,703,79
53,2578,283,80,21,705,84
64,2592,298,84,22,671,76
61,2572,276,86,27,687,88
64,2573,275,80,24,702,89
55,2583,290,83,21,690,83
64,2612,285,81,17,659,74
50,2605,270,87,25,676,76
43,2608,262,70,19,708,88
63,2562,257,88,21,726,79
51,2603,255,92,31,698,73
66,2578,287,75,27,704,64
52,2606,289,73,24,683,73
59,2588,272,88,26,691,78
47,2604,256,73,18,736,64
51,2613,275,65,29,708,66
60,2615,276,73,21,677,71
53,2603,284,80,18,688,73
40,2564,301,90,22,704,74
44,2586,277,72,24,718,76
47,2622,303,75,25,665,67
62,2550,297,90,25,680,80
61,2601,261,89,18,693,74
49,2646,263,73,26,670,71
56,2612,278,75,24,669,86
60,2574,299,80,18,705,70
50,2610,267,78,21,684,91
46,2569,320,84,18,683,77
50,2584,318,76,23,673,74
59,2598,297,86,25,661,74
47,2560,272,79,22,738,73
62,2558,283,70,30,703,91
62,2586,262,79,24,718,71
51,2597,301,94,25,659,75
45,2555,286,64,24,742,84
49,2563,291,77,25,717,72
58,2562,288,105,20,657,103
43,2626,264,72,25,672,86
41,2649,289,75,21,647,76
54,2613,263,70,23,711,68
53,2613,252,84,15,684,87
52,2613,283,86,24,650,87
54,2615,257,93,25,687,69
61,2623,271,90,19,649,79
42,2562,276,83,32,722,79
54,2558,305,89,21,677,77
55,2561,295,91,36,682,73
58,2587,265,78,36,691,81
60,2601,246,79,24,703,87
56,2579,309,82,20,674,72
49,2597,301,72,18,704,71
44,2609,258,84,28,706,69
54,2636,265,83,25,662,76
50,2629,285,70,16,667,69
60,2603,288,74,17,677,89
55,2558,307,70,25,703,80
44,2602,259,81,17,710,81
54,2585,272,100,23,670,97
65,2602,302,84,17,651,77
49,2596,272,82,17,698,94
39,2604,291,72,36,691,69
57,2604,282,81,20,675,79
63,2579,265,74,23,724,71
37,2599,279,84,28,713,70
58,2594,271,69,29,676,94
49,2573,249,97,16,721,86
55,2526,301,81,29,727,76
48,2591,308,74,24,685,69
50,2584,281,88,29,664,96
48,2572,288,88,29,687,88
60,2646,243,84,28,670,68
63,2541,293,89,17,711,90
47,2635,263,84,18,679,66
54,2568,282,74,27,727,62
61,2584,292,75,16,697,76
44,2633,281,81,24,675,63
58,2558,308,74,25,696,83
56,2590,285,79,30,688,73
43,2608,278,71,23,697,73
61,2583,294,85,29,674,71
54,2597,282,93,26,660,83
58,2626,281,82,20,657,83
53,2581,287,76,21,692,78
62,2545,294,95,27,683,86
54,2642,288,64,21,646,75
60,2593,317,90,24,650,68
51,2571,302,73,29,682,85
45,2615,276,76,24,679,86
57,2635,268,63,26,680,71
52,2624,293,54,19,685,83
66,2632,266,68,17,667,77
55,2580,272,101,15,690,85
67,2584,272,59,22,721,74
45,2608,283,95,24,672,74
54,2558,272,79,21,722,88
64,2598,282,73,18,697,72
66,2603,244,78,32,707,73
55,2615,282,91,27,649,79
50,2567,275,93,22,712,88
63,2561,283,78,28,711,66
62,2631,264,82,31,655,84
50,2598,261,83,19,712,73
62,2579,281,77,17,680,96
44,2625,286,85,21,669,71
47,2590,291,82,21,682,85
63,2582,264,75,24,708,91
45,2639,288,90,26,639,69
55,2571,309,71,31,665,90
48,2629,268,72,28,676,71
48,2657,275,80,17,660,71
53,2533,312,77,26,721,82
46,2626,287,74,18,682,76
60,2597,293,77,22,674,79
53,2599,285,78,26,684,79
48,2606,298,87,20,673,73
41,2580,285,82,22,679,105
48,2586,279,86,26,707,70
47,2615,269,82,31,690,69
56,2557,263,75,16,745,90
49,2613,299,81,31,664,69
54,2542,272,79,14,753,76
57,2579,272,84,19,716,70
47,2589,274,87,25,705,71
46,2618,270,71,17,688,80
46,2577,278,84,22,710,92
44,2619,268,94,29,694,54
61,2598,301,88,30,649,72
41,2614,267,64,22,703,83
70,2610,294,80,21,639,80
62,2570,305,75,25,689,65
59,2598,264,85,34,684,78
49,2575,291,77,27,697,78
51,2666,264,91,22,624,71
40,2581,287,77,32,711,79
53,2592,293,91,26,669,78
40,2620,289,86,16,666,84
48,2621,277,66,23,702,59
70,2603,285,80,24,676,66
48,2627,272,72,26,687,71
59,2526,289,97,35,715,74
54,2587,267,88,16,702,86
50,2574,264,92,21,730,80
47,2639,281,88,21,652,79
58,2611,281,71,23,667,91
51,2585,275,75,32,701,77
47,2592,288,88,23,690,69
41,2571,293,87,22,698,84
53,2584,291,70,29,695,74
51,2622,291,80,33,659,67
46,2599,281,102,23,673,71
71,2589,270,82,23,685,80
54,2599,304,73,24,669,72
52,2603,266,67,28,696,88
46,2588,257,84,24,714,82
43,2614,257,89,26,686,87
44,2558,316,86,20,683,91
43,2591,312,78,18,680,72
59,2635,274,94,20,638,71
57,2603,282,73,23,692,69
54,2651,232,82,26,654,90
39,2589,286,86,27,683,85
57,2565,277,76,30,722,75
52,2566,290,88,20,702,79
57,2597,292,90,23,659,77
50,2568,293,95,30,706,68
57,2642,279,82,20,656,67
43,2606,296,74,26,666,86
49,2626,267,77,17,681,84
45,2593,289,74,17,696,76
57,2589,298,58,18,702,79
59,2558,287,79,25,730,70
52,2628,257,75,22,689,83
